address,restaurantName,category,x_coordinate,y_coordinate,sojuPrice,beerPrice,businessHours
서울특별시 마포구 서교동 342-3,왕소야 홍대점,중식,193376.5934,450193.4151,3500,4000,11:00~20:00
서울특별시 마포구 서교동 355-25,잇스시(IT'sushi),일식,192988.885,450160.268,3500,4000,11:00~22:00
서울특별시 마포구 서교동 411-7,비에이치씨(BHC)상수점,호프/통닭,193007.4909,449650.4372,3500,4000,16:00~02:00
서울특별시 마포구 서교동 408-18 스페이스빌딩,호박꽃 홍대점,한식,192978.9548,449666.6206,3500,4000,11:00~22:00
서울특별시 마포구 서교동 399-23 1층,해몽 마포점,한식,192667.4817,449614.5323,3500,4000,11:00~22:00
서울특별시 마포구 서교동 407-16 1층,골목포차,중식,193019.4842,449800.2944,3500,4000,11:00~20:00
서울특별시 마포구 서교동 354-9 노벨리아 서교,송계옥 서교점,한식,192928.7683,450187.2493,3500,4000,11:00~22:00
서울특별시 마포구 서교동 409-1 서교동빌딩,만선호프 홍대점,호프/통닭,193047.5088,449757.4822,3500,4000,16:00~02:00
서울특별시 마포구 서교동 395-70,이양권반상 합정,한식,192596.252,449739.1349,4000,4500,11:00~22:00
서울특별시 마포구 서교동 395-33,야타이 쇼부,한식,192590.67,449687.1233,4000,4500,11:00~22:00
서울특별시 마포구 서교동 362-11,수림식당,중식,193095.2648,449922.082,4000,4500,11:00~20:00
서울특별시 마포구 서교동 395-69,그늘 홍대점,한식,192604.7245,449730.5021,4000,4500,11:00~22:00
서울특별시 마포구 서교동 449-6 1층,제주은희네해장국홍대점,한식,192670.5655,450645.3564,4000,4500,11:00~22:00
서울특별시 마포구 서교동 486 서교푸르지오,경원식부 서교점,중식,193187.803,450172.1789,4000,4500,11:00~20:00
서울특별시 마포구 서교동 394-25 동양한강트레벨,로타리 홍대점,일식,192402.4686,449701.625,4000,4500,11:00~22:00
서울특별시 마포구 서교동 377-7 이막빌딩,소금과 다시마,일식,192496.8907,450131.7874,4000,4500,11:00~22:00
서울특별시 마포구 서교동 399-14,미지(MIZI) 홍대점,한식,192731.5038,449689.3189,4000,4500,11:00~22:00
서울특별시 마포구 서교동 395-17 예랑빌딩 1층,401(사백일) 홍대점,한식,192878.7278,449832.7663,4000,4500,11:00~22:00
서울특별시 마포구 서교동 337-27,덮담 홍대점,한식,193619.7712,450179.6187,4000,4500,11:00~22:00
서울특별시 마포구 서교동 331-13,꽃게나라,한식,193326.1843,450419.0731,4000,4500,11:00~22:00
서울특별시 마포구 서교동 357-1 서교오피스텔,코코발리비비큐 서교동지점,양식,193009.2081,450142.1869,4000,4500,11:30~22:00
서울특별시 마포구 서교동 409-10,후타츠 홍대점,일식,193015.4324,449682.6423,4000,4500,11:00~22:00
