address,restaurantName,category,sojuPrice,beerPrice,businessHours,lat,lon
서울특별시 마포구 서교동 342-3,왕소야 홍대점,중식,3500,4000,11:00~20:00,37.55398638395633,126.92294075904374
서울특별시 마포구 서교동 355-25,잇스시(IT'sushi),일식,3500,4000,11:00~22:00,37.553684838127154,126.91855337808232
서울특별시 마포구 서교동 411-7,비에이치씨(BHC)상수점,호프/통닭,3500,4000,16:00~02:00,37.54909145639832,126.9187688413868
서울특별시 마포구 서교동 408-18 스페이스빌딩,호박꽃 홍대점,한식,3500,4000,11:00~22:00,37.549237048437526,126.91844576295813
서울특별시 마포구 서교동 399-23 1층,해몽 마포점,한식,3500,4000,11:00~22:00,37.54876529202126,126.91492156703522
서울특별시 마포구 서교동 407-16 1층,골목포차,중식,3500,4000,11:00~20:00,37.55044174681033,126.91890312281977
서울특별시 마포구 서교동 354-9 노벨리아 서교,송계옥 서교점,한식,3500,4000,11:00~22:00,37.55392747351116,126.91787277716539
서울특별시 마포구 서교동 409-1 서교동빌딩,만선호프 홍대점,호프/통닭,3500,4000,16:00~02:00,37.5500562267953,126.91922067171309
서울특별시 마포구 서교동 395-70,이양권반상 합정,한식,4000,4500,11:00~22:00,37.5498873750825,126.91411424856216
서울특별시 마포구 서교동 395-33,야타이 쇼부,한식,4000,4500,11:00~22:00,37.549418710479145,126.91405160994188
서울특별시 마포구 서교동 362-11,수림식당,중식,4000,4500,11:00~20:00,37.551539616829345,126.91975953597843
서울특별시 마포구 서교동 395-69,그늘 홍대점,한식,4000,4500,11:00~22:00,37.549809662990015,126.91421021439493
서울특별시 마포구 서교동 449-6 1층,제주은희네해장국홍대점,한식,4000,4500,11:00~22:00,37.55805293431602,126.91494608060097
서울특별시 마포구 서교동 486 서교푸르지오,경원식부 서교점,중식,4000,4500,11:00~20:00,37.553793659205176,126.92080441475862
서울특별시 마포구 서교동 394-25 동양한강트레벨,로타리 홍대점,일식,4000,4500,11:00~22:00,37.549547824786664,126.91192171153085
서울특별시 마포구 서교동 377-7 이막빌딩,소금과 다시마,일식,4000,4500,11:00~22:00,37.55342432392082,126.91298578963696
서울특별시 마포구 서교동 399-14,미지(MIZI) 홍대점,한식,4000,4500,11:00~22:00,37.54943962331981,126.91564530831872
서울특별시 마포구 서교동 395-17 예랑빌딩 1층,401(사백일) 홍대점,한식,4000,4500,11:00~22:00,37.55073322924423,126.91730993868602
서울특별시 마포구 서교동 337-27,덮담 홍대점,한식,4000,4500,11:00~22:00,37.553863811725066,126.92569292648935
서울특별시 마포구 서교동 331-13,꽃게나라,한식,4000,4500,11:00~22:00,37.556019171766216,126.92236820698868
서울특별시 마포구 서교동 357-1 서교오피스텔,코코발리비비큐 서교동지점,양식,4000,4500,11:30~22:00,37.55352208503476,126.91878354769769
서울특별시 마포구 서교동 409-10,후타츠 홍대점,일식,4000,4500,11:00~22:00,37.54938168196466,126.91885840035113
서울특별시 마포구 서교동 468-20 아트림,레스트_아우룸(rest_Aurum),양식,4000,4500,11:30~22:00,37.5561299648025,126.91126298588021
서울특별시 마포구 서교동 327-38 빅뱅,오스테리아 옥타브(OSTERIA OCTAVE),양식,4000,4500,11:30~22:00,37.55480011651049,126.92671727592003
