address,restaurantName,category,sojuPrice,beerPrice,businessHours,lat,lon,imageURLs
서울특별시 마포구 서교동 342-3,왕소야 홍대점,중식,3500,4000,11:00~20:00,37.55398638395633,126.92294075904374,"https://mblogthumb-phinf.pstatic.net/MjAyMzA3MjBfMTU2/MDAxNjg5ODEzNzAwODAy.tAlIeeXliE05S_c-6RCK3cf_3XOHkNPRgIfAcYBAoX0g.L3nzsraKvDYr0vM_3eIJBRLqAcInwig1SgJtt53gkTcg.JPEG.meegoreng2/20230630%EF%BC%BF165333.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA3MjBfMjE1/MDAxNjg5ODEzNzAwODcw.YcDCrqoqq5D27PCnoGG3l06IJzglHYtuVTWsOu3UBV0g.pIrdMHxHCQtdMaskm4Ut_M1K2dkvr8Ufgr56ui070hwg.JPEG.meegoreng2/20230630%EF%BC%BF165429.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA3MjBfMjg0/MDAxNjg5ODEzNzA4ODMy.8bCRgIP2y6SPZ6tMzsUZm_-FRTJKVfo133o15Il_06wg.Psi9fO3P7FkfeXXCbaGFAWaCXnCu2CVAJO4cTQZJe2og.JPEG.meegoreng2/1689812928387.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA3MjBfMTY4/MDAxNjg5ODEzNzAwODk5.lYfAWCzlAC4w-2cd2MLzq-SJac-cRP_i7yuO2WY2Lq0g.PvvD0z3cWuV0ZHpXVwnQIRtDEYgL0KRIv03hDXVs77kg.JPEG.meegoreng2/20230630%EF%BC%BF165947.jpg?type=w800"
서울특별시 마포구 서교동 355-25,잇스시(IT'sushi),일식,3500,4000,11:00~22:00,37.553684838127154,126.91855337808232,"https://image.toast.com/aaaaaqx/catchtable/shopinfo/sCQuTINvwmJ-o-BM106412w/cqutinvwmj-o-bm106412w_2381415594037643.jpg?detail750, https://image.toast.com/aaaaaqx/catchtable/shopinfo/sCQuTINvwmJ-o-BM106412w/cqutinvwmj-o-bm106412w_2381415525910238.jpg, https://image.toast.com/aaaaaqx/catchtable/shopinfo/sCQuTINvwmJ-o-BM106412w/cqutinvwmj-o-bm106412w_2381415573096429.jpg?detail750, https://image.toast.com/aaaaaqx/catchtable/shopinfo/sCQuTINvwmJ-o-BM106412w/cqutinvwmj-o-bm106412w_2381416001987953.jpg?detail750"
서울특별시 마포구 서교동 411-7,비에이치씨(BHC)상수점,호프/통닭,3500,4000,16:00~02:00,37.54909145639832,126.9187688413868,"https://mblogthumb-phinf.pstatic.net/MjAyMjA5MThfMTYx/MDAxNjYzNTA2ODMzMzIz.V3I2peTbVSkyjMeSX0wDve8DaLzwzA6Wg04aJ216Hwgg.ibJVPz0jqLrovCNAWBF8BKM1dW4ddb8_FpGES5imwAog.JPEG.yzzzii/output_2142613666.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMjA5MThfMTk5/MDAxNjYzNTA2ODMzNDYx.e1DBu6UEyS-FTK8g4PvN2RRgoig7-xRFc-DsCvG6Y6gg.RJcV9VJ42o-fTs-zIeXfjUwYJCigYJmvqZXXLldr-owg.JPEG.yzzzii/output_3941414472.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMDAyMTJfMTgw/MDAxNTgxNTEyMzEwOTE1.Dwpj3MDkd0fw1Ivr2sYhEpaZFvf-3jye2KFb7AhRVNIg.c8_ptbFWSEmjEcrGC780QAkk59IX4CRVyGbL7pDLYggg.JPEG.gassi00/IMG_0401.JPG?type=w800, https://blog.kakaocdn.net/dn/dvt1zr/btr8UXNCHlz/SNkQWinsdB0tgtoP4QPLLK/img.jpg"
서울특별시 마포구 서교동 408-18 스페이스빌딩,호박꽃 홍대점,한식,3500,4000,11:00~22:00,37.549237048437526,126.91844576295811,"https://mblogthumb-phinf.pstatic.net/MjAyMzA2MDdfMjM0/MDAxNjg2MTE3MTA0OTk3.5vC44zAwo1MhWpiFh1WDEmdMbuqrYcPpzOwI7WUuieAg.x90bx7dv4oWnSTHtUbJAJH6ZJUZcIacD7QGtgaY1x2og.JPEG.wihong0109/IMG_9139.JPG?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA2MDdfMjg4/MDAxNjg2MTE3MjYwMDE0.GEeakECAFms6LJNKwqPZI9LcJIcsUyFMGK8naNmKHUQg.1ixAasMYJD5-OQ5JGuCyH5ZJgpwy4DFCRcQYQOJnZvog.JPEG.wihong0109/IMG_9174.JPG?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA2MDdfNzMg/MDAxNjg2MTQ2ODAyMzc0.TG3vu2NBCsgLgYw_E_h8K7Kxem_CRT5gr5Gdp1hCxt8g.FibyWq6kTWiBbUv5OelYblCaNDbb2CAO2USFWgTKtGIg.JPEG.wihong0109/SE-675FDDDB-EF71-4B6E-8A38-C99412360843.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA2MDdfMjg3/MDAxNjg2MTE3MTM2Njg0.oBG6wuEYaVX5ylmraIes0Gkx2jwNOrcaVfnCqJGx0fkg.q3Qz2PitWm8PQogz3m-c7xEUyFt6O6024vqdY57BS68g.JPEG.wihong0109/IMG_9167.JPG?type=w800"
서울특별시 마포구 서교동 399-23 1층,해몽 마포점,한식,3500,4000,11:00~22:00,37.54876529202126,126.91492156703522,"https://d12zq4w4guyljn.cloudfront.net/750_750_20230619123248476_photo_3d042c99ac6c.jpg, https://d12zq4w4guyljn.cloudfront.net/750_750_20230619123248681_photo_3d042c99ac6c.jpg, https://mblogthumb-phinf.pstatic.net/MjAyMzA1MzBfMjk5/MDAxNjg1Mzc1NDAzOTE2.lOTIJXOaTdIH-3Reyl-wue2UkOg517JN30g4MWUKoxkg.wpIFOEAIkAppmNh_-lKhJxpysiZkUMR1vVQ_YmCMPrIg.PNG.kizaki56/29.png?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA4MDVfODMg/MDAxNjkxMjQ0ODI1ODk4.1OYK8lZnzLW2-h4-PKHTuo-EGfc7jf7rCQXQ15nQCaIg.v7CbbGTKmyh-X0lKKjWR4FEA1rV2wIDTPe7_2Gh2Xacg.JPEG.eblovebr0915/IMG_3841.JPG?type=w800"
서울특별시 마포구 서교동 407-16 1층,골목포차,중식,3500,4000,11:00~20:00,37.55044174681033,126.91890312281976,"https://mblogthumb-phinf.pstatic.net/MjAxODA4MTVfMTM2/MDAxNTM0MjU5MTYwMDI2.jHDRy3X0ax6WGQZdE2SQBAtRzibFlWaYu603Q9ZOz7wg.RvHW-SkVsB3yTGDHai6c5yNRZZe9HK4TK-pmMoHc-m0g.JPEG.drinkingmc/%EC%88%98%EC%98%81_%EA%B3%A8%EB%AA%A9%ED%8F%AC%EC%B0%A8.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAxOTA2MjJfMjYy/MDAxNTYxMTgxODk4Njk4.oofyJQp13EiZxcV0xqFWUabzH0y5F7srYex-OlsmKW8g.P0Em60dwPhMB5XIkltgJ9vDZ_L_GrzFim83iRFODeewg.JPEG.yaelim03/SE-a41e8914-9be0-45e5-ad3d-f1c67d7c0f1d.jpg?type=w800, https://blog.kakaocdn.net/dn/GNHHX/btqw859Xt1H/fsExpa8t68G5DWAk5aEI81/img.jpg, https://mblogthumb-phinf.pstatic.net/MjAxODAyMTJfMzYg/MDAxNTE4Mzk4NjA5NDA5.5pswZ3kgREIeXrAyxU6LP9ZYR8ceTHLU3InRFe9UqGog.F4xvdbsdeA_6XWeHhifWIidIphd7YdLaHkvILOkDFy0g.JPEG.0708sm/image_1476325481518398405085.jpg?type=w800"
서울특별시 마포구 서교동 354-9 노벨리아 서교,송계옥 서교점,한식,3500,4000,11:00~22:00,37.55392747351116,126.9178727771654,"https://img.siksinhot.com/place/1682494356600003.jpg?w=307&h=300&c=Y, https://mblogthumb-phinf.pstatic.net/MjAyMzA1MDNfMTE5/MDAxNjgzMTE1ODczNDMx.ahKpx1C0YCfcL_i9Uvk89_jFzF3fVMceUgoU0h1jbuQg.wCEeAdmqPoY-dHpbMQQCXNjGl9kysOTEGlxQWHsfWAQg.JPEG.qlsdl2253/IMG_8485.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA0MDZfMTkg/MDAxNjgwNzkyMTY2Mzg1.ZWSU8N2DWAck7tdId09TvPn7woIiBkFH__A92PvyTEMg.kjNWWq_Sx0PUalmkS5D48xVgg0YnvuykIqpHoHElpIUg.JPEG.choijy1618/SE-349723F7-91D1-4CF5-A746-65FB680B41BB.jpg?type=w800, https://mblogthumb-phinf.pstatic.net/MjAyMzA0MDZfMjMw/MDAxNjgwNzkxMzQ2MTk2.3KWtS0n5u0d1XASPbRiEfQ6h4SWawB8XUSNDg4OPFFAg.zTWyL7ml5lj4mcWYhEA5bSFgPJGiCkBBsqBaQxY-dccg.JPEG.choijy1618/IMG_0548.jpg?type=w800"
서울특별시 마포구 서교동 409-1 서교동빌딩,만선호프 홍대점,호프/통닭,3500,4000,16:00~02:00,37.5500562267953,126.91922067171308,"https://mblogthumb-phinf.pstatic.net/MjAyMzA1MjFfMTYg/MDAxNjg0NjU1MzUxNjY3.5qpOMeq9MKlqF1bKwcKTVpYSeFowOgQGBU_aJbJuSZYg.RuBthoXryrZr6BgS1YoKNOYQqdYos5ksrcUDuV-t2zkg.JPEG.hani912/output_392338088.jpg?type=w800, https://s3.ap-northeast-2.amazonaws.com/dongnealba.assets/stores/642d970df3e72b432a596794/pic_1680709389269_0.jpeg, https://mblogthumb-phinf.pstatic.net/MjAyMzA1MjFfMTIy/MDAxNjg0NjcwNzc0NTQ0.fW3bwKZlR1s-h0iCJKAN6hR1t0Yn0Y-xb7k4Glfn6MIg.05Yu9C8du2ORswRVxyW6CK0XGjozCRZS2uqOKi6OUqog.JPEG.hani912/output_3324936563.jpg?type=w800, https://images.munto.kr/production-socialing/1696588146789-photo-mio1m-345484-0"
서울특별시 마포구 서교동 395-70,이양권반상 합정,한식,4000,4500,11:00~22:00,37.5498873750825,126.91411424856216,"https://mblogthumb-phinf.pstatic.net/MjAyMzA1MDRfMjcg/MDAxNjgzMTg2NzM2NjE1.XWmuCjh0Vsc_hn_tM1bJQeqNBFc65SGEBSjhyhvVuHIg.qPUWjIompL_z0g_qt3vmi2vW38cXpfVSR15cyCZ32KQg.JPEG.sosizac/IMG_5962.JPG?type=w800, https://blog.kakaocdn.net/dn/bYADyL/btsmzGTmX7h/wnVTAeq8bJHMczIAv4tw4K/img.png, https://blog.kakaocdn.net/dn/0NMbz/btsmyUYMvFt/zAtYTkGDwF7u9TENhsFc0k/img.png, https://pbs.twimg.com/media/F75Qoo_acAA3H_d?format=jpg&name=4096x4096"
서울특별시 마포구 서교동 395-33,야타이 쇼부,한식,4000,4500,11:00~22:00,37.549418710479145,126.91405160994188,"https://image.toast.com/aaaaaqx/catchtable/shopinfo/sFwpoKbZnWIKRwDLvsNcOVA/fwpokbznwikrwdlvsncova_236909182046318.jpeg?detail750, https://img.siksinhot.com/place/1688013009265313.jpg, https://image.toast.com/aaaaaqx/catchtable/shopinfo/sFwpoKbZnWIKRwDLvsNcOVA/fwpokbznwikrwdlvsncova_236909182046324.jpeg?detail750, https://image.toast.com/aaaaaqx/catchtable/shopinfo/sFwpoKbZnWIKRwDLvsNcOVA/fwpokbznwikrwdlvsncova_236909180030671.jpeg"
